10,4,5
15,5,6
18,6,7
21,7,8
22,8,9
23,9,10
25,11,12
26,12,13
27,14,15
2,1,2
5,2,3
6,3,4
7,4,5
8,5,6
11,6,7
14,7,8
18,8,9
23,9,10
25,11,12
26,12,13
27,14,15
1,1,1
3,2,3
6,3,4
7,4,5
10,5,6
14,6,7
17,7,8
22,8,9
23,9,10
25,11,12
26,12,13
27,14,15
1,1,1
3,2,3
6,3,4
10,4,5
11,5,6
16,6,7
17,7,8
20,8,9
23,9,10
25,11,12
26,12,13
27,14,15
1,1,1
3,2,3
6,3,4
7,4,5
10,5,6
14,6,7
17,7,8
22,8,9
23,9,10
25,11,12
26,12,13
27,14,15
1,1,1
3,2,3
6,3,4
9,4,5
12,5,6
13,6,7
18,7,8
19,8,9
23,9,10
25,11,12
26,12,13
27,14,15
2,1,2
5,2,3
6,3,4
7,4,5
8,5,6
11,6,7
14,7,8
19,8,9
23,9,10
25,11,12
26,12,13
27,14,15
2,1,2
5,2,3
6,3,4
7,4,5
8,5,6
12,6,7
17,7,8
20,8,9
23,9,10
25,11,12
26,12,13
27,14,15
2,1,2
5,2,3
6,3,4
9,4,5
13,5,6
14,6,7
17,7,8
22,8,9
23,9,10
25,11,12
26,12,13
27,14,15
2,1,2
5,2,3
6,3,4
11,4,5
15,5,6
18,6,7
21,7,8
22,8,9
23,9,10
25,11,12
